C_2ba58216460d43aa986fc0e897537239_0_1	Johnny Unitas [SEP] 1964 MVP season	what team did unitas play for
C_2ba58216460d43aa986fc0e897537239_0_2	Johnny Unitas [SEP] 1964 MVP season [SEP] what team did unitas play for	how many games did the colts win
C_2ba58216460d43aa986fc0e897537239_0_3	Johnny Unitas [SEP] 1964 MVP season [SEP] what team did unitas play for [SEP] how many games did the colts win	who did they play in the playoffs
C_2ba58216460d43aa986fc0e897537239_0_4	Johnny Unitas [SEP] 1964 MVP season [SEP] what team did unitas play for [SEP] how many games did the colts win [SEP] who did they play in the playoffs	did they win the super bowl
C_2ba58216460d43aa986fc0e897537239_0_5	Johnny Unitas [SEP] 1964 MVP season [SEP] what team did unitas play for [SEP] how many games did the colts win [SEP] who did they play in the playoffs [SEP] did they win the super bowl	who did they play in the super bowl
C_2ba58216460d43aa986fc0e897537239_0_6	Johnny Unitas [SEP] 1964 MVP season [SEP] what team did unitas play for [SEP] how many games did the colts win [SEP] who did they play in the playoffs [SEP] did they win the super bowl [SEP] who did they play in the super bowl	what were unitas stats
C_ae269bdc0d524b599736eb69a322d5b1_1_1	Mark Taylor (cricketer) [SEP] Early years	Where was he born?
C_ae269bdc0d524b599736eb69a322d5b1_1_2	Mark Taylor (cricketer) [SEP] Early years [SEP] Where was he born?	What did he do growing up?
C_ae269bdc0d524b599736eb69a322d5b1_1_3	Mark Taylor (cricketer) [SEP] Early years [SEP] Where was he born? [SEP] What did he do growing up?	Are there any other interesting aspects about this article?
C_ae269bdc0d524b599736eb69a322d5b1_1_4	Mark Taylor (cricketer) [SEP] Early years [SEP] Where was he born? [SEP] What did he do growing up? [SEP] Are there any other interesting aspects about this article?	did he win any awards?
C_ae269bdc0d524b599736eb69a322d5b1_1_5	Mark Taylor (cricketer) [SEP] Early years [SEP] Where was he born? [SEP] What did he do growing up? [SEP] Are there any other interesting aspects about this article? [SEP] did he win any awards?	did he win any championships for his school?
